drug2_id,drug2_name
1,verteporfin
2,digoxin
3,digitoxin
4,deslanoside
5,acetyldigitoxin
6,ouabain
7,gatifloxacin
8,rosoxacin
9,levofloxacin
10,trovafloxacin
11,nalidixic acid
12,norfloxacin
13,enoxacin
14,fleroxacin
15,gemifloxacin
16,pefloxacin
17,sparfloxacin
18,cinoxacin
19,torasemide
20,etacrynic acid
21,furosemide
22,bumetanide
23,clodronic acid
24,benzydamine
25,deferasirox
26,clobetasol propionate
27,estrone sulfate
28,diflorasone
29,budesonide
30,droxicam
31,loxoprofen
32,clonixin
33,prednisolone
34,tranilast
35,lornoxicam
36,deflazacort
37,resveratrol
38,paramethasone
39,cortisone acetate
40,fenbufen
41,etofenamate
42,desoximetasone
43,fluticasone furoate
44,formestane
45,alendronic acid
46,prednisone
47,technetium tc-99m medronate
48,fluticasone propionate
49,amcinonide
50,pamidronic acid
51,etidronic acid
52,etoricoxib
53,loteprednol
54,desmopressin
55,ulobetasol
56,fluocinolone acetonide
57,prasterone
58,rimexolone
59,flumethasone
60,prednicarbate
61,tiludronic acid
62,niflumic acid
63,propacetamol
64,clocortolone
65,flurandrenolide
66,hydrocortisone
67,pirfenidone
68,estrone
69,teriflunomide
70,betamethasone
71,mometasone
72,salicylamide
73,tolfenamic acid
74,equilin
75,fludrocortisone
76,fluprednidene
77,fluocortolone
78,desonide
79,zoledronic acid
80,beclomethasone dipropionate
81,medrysone
82,omacetaxine mepesuccinate
83,tixocortol
84,difluocortolone
85,haloperidol
86,clobetasone
87,fluorometholone
88,halcinonide
89,dexamethasone
90,ciclesonide
91,parecoxib
92,alclometasone
93,aceclofenac
94,zaltoprofen
95,seratrodast
96,methylprednisolone
97,nimesulide
98,oxyphenbutazone
99,epirizole
100,triamcinolone
101,flunisolide
102,apremilast
103,icatibant
104,ibandronate
105,fluocinonide
106,alclofenac
107,acemetacin
108,difluprednate
109,tenofovir disoproxil
110,risedronic acid
111,"sodium phosphate, monobasic"
112,folic acid
113,dinoprost tromethamine
114,dinoprostone
115,lubiprostone
116,travoprost
117,unoprostone
118,hydrochlorothiazide
119,latanoprostene bunod
120,limaprost
121,epoprostenol
122,bendroflumethiazide
123,alprostadil
124,methyclothiazide
125,hydroflumethiazide
126,bimatoprost
127,tafluprost
128,misoprostol
129,trichlormethiazide
130,metolazone
131,indapamide
132,chlorthalidone
133,gemeprost
134,iloprost
135,carboprost tromethamine
136,latanoprost
137,chlorothiazide
138,polythiazide
139,quinethazone
140,probenecid
141,methylphenidate
142,quinagolide
143,artesunate
144,sulfisoxazole
145,erythromycin
146,cyclosporine
147,fluconazole
148,clotrimazole
149,doxycycline
150,isavuconazonium
151,dronedarone
152,ketoconazole
153,clemastine
154,venlafaxine
155,atomoxetine
156,olaparib
157,ticlopidine
158,delavirdine
159,atazanavir
160,isradipine
161,bortezomib
162,nicotine
163,imatinib
164,clarithromycin
165,diltiazem
166,idelalisib
167,lopinavir
168,fosamprenavir
169,nelfinavir
170,lovastatin
171,indinavir
172,telaprevir
173,amiodarone
174,crizotinib
175,cobicistat
176,darunavir
177,posaconazole
178,boceprevir
179,voriconazole
180,sildenafil
181,dihydroergotamine
182,nefazodone
183,fluvoxamine
184,saquinavir
185,ziprasidone
186,ranolazine
187,verapamil
188,nilotinib
189,telithromycin
190,rucaparib
191,itraconazole
192,mifepristone
193,stiripentol
194,ivacaftor
195,osimertinib
196,simeprevir
197,fosaprepitant
198,palbociclib
199,ceritinib
200,fusidic acid
201,aprepitant
202,netupitant
203,luliconazole
204,dasatinib
205,fesoterodine
206,lumiracoxib
207,leflunomide
208,acetylsalicylic acid
209,tiaprofenic acid
210,oxaprozin
211,salicylic acid
212,antipyrine
213,suprofen
214,mycophenolic acid
215,choline magnesium trisalicylate
216,ibuprofen
217,magnesium salicylate
218,salsalate
219,diflunisal
220,azelastine
221,ketoprofen
222,meclofenamic acid
223,quinidine
224,darifenacin
225,topiramate
226,methadone
227,mirabegron
228,clozapine
229,irbesartan
230,felodipine
231,tibolone
232,betaxolol
233,nicardipine
234,valsartan
235,metoprolol
236,losartan
237,manidipine
238,aripiprazole
239,promazine
240,thioridazine
241,chlorpromazine
242,cocaine
243,clomipramine
244,tranylcypromine
245,imipramine
246,clobazam
247,efavirenz
248,pomalidomide
249,desipramine
250,sertraline
251,eliglustat
252,bupropion
253,artemether
254,rolapitant
255,paroxetine
256,cimetidine
257,isoniazid
258,fluoxetine
259,duloxetine
260,midostaurin
261,dosulepin
262,ropinirole
263,diphenhydramine
264,chloroquine
265,cholecalciferol
266,methotrimeprazine
267,quinine
268,cinacalcet
269,citalopram
270,lumefantrine
271,celecoxib
272,lorcaserin
273,terbinafine
274,panobinostat
275,abiraterone
276,procarbazine
277,pirlindole
278,moclobemide
279,atorvastatin
280,moxifloxacin
281,tamoxifen
282,ifosfamide
283,plicamycin
284,valrubicin
285,epirubicin
286,amrubicin
287,daunorubicin
288,streptozocin
289,doxorubicin
290,idarubicin
291,miltefosine
292,sirolimus
293,trimetrexate
294,thalidomide
295,valproic acid
296,quazepam
297,sorafenib
298,tolbutamide
299,pantoprazole
300,topiroxostat
301,omeprazole
302,capecitabine
303,modafinil
304,chloramphenicol
305,trimethoprim
306,pyrimethamine
307,eslicarbazepine acetate
308,esomeprazole
309,sulfadiazine
310,lobeglitazone
311,gemfibrozil
312,zucapsaicin
313,crisaborole
314,etravirine
315,armodafinil
316,fluorouracil
317,zafirlukast
318,sulfamethoxazole
319,fluvastatin
320,floxuridine
321,ticagrelor
322,vinblastine
323,dabigatran etexilate
324,gefitinib
325,erlotinib
326,bosutinib
327,octreotide
328,degarelix
329,eribulin
330,vorinostat
331,lapatinib
332,triptorelin
333,lenvatinib
334,ofloxacin
335,ciprofloxacin
336,goserelin
337,sunitinib
338,vandetanib
339,arsenic trioxide
340,rosiglitazone
341,pioglitazone
342,rabeprazole
343,lumacaftor
344,saxagliptin
345,fingolimod
346,pazopanib
347,calcipotriol
348,ruxolitinib
349,bicalutamide
350,thiotepa
351,paclitaxel
352,vindesine
353,bexarotene
354,mebendazole
355,imiquimod
356,cabergoline
357,cabazitaxel
358,hydroxyprogesterone caproate
359,venetoclax
360,cytarabine
361,mycophenolate mofetil
362,docetaxel
363,vinorelbine
364,estramustine
365,tretinoin
366,dienogest
367,flutamide
368,letrozole
369,vincristine
370,methyltestosterone
371,podofilox
372,busulfan
373,teniposide
374,fulvestrant
375,quinacrine
376,medroxyprogesterone acetate
377,albendazole
378,vismodegib
379,clopidogrel
380,ibrutinib
381,tofacitinib
382,regorafenib
383,romidepsin
384,diethylstilbestrol
385,ixabepilone
386,ixazomib
387,axitinib
388,sonidegib
389,irinotecan
390,temsirolimus
391,toremifene
392,cabozantinib
393,etoposide
394,exemestane
395,ponatinib
396,cobimetinib
397,trabectedin
398,nilutamide
399,tegafur
400,topotecan
401,clofarabine
402,nintedanib
403,ecabet
404,amsacrine
405,mitomycin
406,megestrol acetate
407,dactinomycin
408,alectinib
409,mitoxantrone
410,altretamine
411,cisplatin
412,carfilzomib
413,belinostat
414,methotrexate
415,alitretinoin
416,lenalidomide
417,gemcitabine
418,masoprocol
419,sulindac
420,lanreotide
421,iobenguane
422,anagrelide
423,azathioprine
424,mercaptopurine
425,anastrozole
426,lomustine
427,cyproterone acetate
428,vapreotide
429,aminoglutethimide
430,vinflunine
431,phenylbutyric acid
432,phenylacetic acid
433,raltitrexed
434,melphalan
435,suramin
436,hydroxyurea
437,pipobroman
438,podophyllin
439,aminolevulinic acid
440,oxaliplatin
441,decitabine
442,trifluridine
443,dexrazoxane
444,azacitidine
445,dacarbazine
446,pixantrone
447,niraparib
448,azelaic acid
449,testolactone
450,medrogestone
451,carboplatin
452,pralatrexate
453,cladribine
454,pemetrexed
455,uracil mustard
456,mechlorethamine
457,nelarabine
458,temoporfin
459,eflornithine
460,fludarabine
461,carmustine
462,lycopene
463,bendamustine
464,tioguanine
465,chlorambucil
466,bleomycin
467,trilostane
468,lomefloxacin
469,nedaplatin
470,trametinib
471,temozolomide
472,radium ra 223 dichloride
473,besifloxacin
474,gallium nitrate
475,methyl aminolevulinate
476,mequinol
477,vitamin a
478,mecamylamine
479,sufentanil
480,remifentanil
481,metipranolol
482,bretylium
483,olmesartan
484,trandolapril
485,nimodipine
486,lisinopril
487,penbutolol
488,nisoldipine
489,hydralazine
490,eprosartan
491,acebutolol
492,enalapril
493,ramipril
494,candesartan cilexetil
495,tolazoline
496,perindopril
497,benazepril
498,carteolol
499,amlodipine
500,phenoxybenzamine
501,aliskiren
502,cilazapril
503,moexipril
504,pindolol
505,telmisartan
506,methyldopa
507,riociguat
508,nebivolol
509,carvedilol
510,bisoprolol
511,fosinopril
512,captopril
513,phentolamine
514,labetalol
515,timolol
516,nadolol
517,propranolol
518,quinapril
519,atenolol
520,brimonidine
521,rotigotine
522,reserpine
523,risperidone
524,quetiapine
525,pipamperone
526,dexmedetomidine
527,guanfacine
528,clonidine
529,tolcapone
530,tizanidine
531,vemurafenib
532,phenelzine
533,selegiline
534,rasagiline
535,levodopa
536,pramipexole
537,eplerenone
538,empagliflozin
539,isoxsuprine
540,isosorbide dinitrate
541,terazosin
542,canagliflozin
543,apraclonidine
544,azilsartan medoxomil
545,nifedipine
546,papaverine
547,mannitol
548,dapagliflozin
549,levobunolol
550,nitroglycerin
551,amyl nitrite
552,isosorbide mononitrate
553,clevidipine
554,methazolamide
555,dipyridamole
556,propofol
557,sevoflurane
558,ropivacaine
559,sotalol
560,esmolol
561,spironolactone
562,diclofenamide
563,eltrombopag
564,tamsulosin
565,doxazosin
566,nitrous acid
567,amiloride
568,nitroprusside
569,prazosin
570,triamterene
571,minoxidil
572,sacubitril
573,pentostatin
574,pentamidine
575,chloroxine
576,anidulafungin
577,terconazole
578,amphotericin b
579,tioconazole
580,bifonazole
581,micafungin
582,isoconazole
583,thymol
584,butoconazole
585,miconazole
586,sulconazole
587,flucytosine
588,butenafine
589,nitroxoline
590,benzoic acid
591,econazole
592,nystatin
593,griseofulvin
594,caspofungin
595,tolnaftate
596,cerulenin
597,haloprogin
598,oxiconazole
599,natamycin
600,sertaconazole
601,hexetidine
602,efinaconazole
603,tavaborole
604,ciclopirox
605,naftifine
606,colchicine
607,everolimus
608,afatinib
609,methscopolamine
610,hyoscyamine
611,atracurium besylate
612,tiotropium
613,procyclidine
614,pentolinium
615,methantheline
616,propantheline
617,ipratropium
618,anisotropine methylbromide
619,propiverine
620,trospium
621,tolterodine
622,pipecuronium
623,vecuronium
624,butylscopolamine
625,glycopyrronium
626,oxyphenonium
627,scopolamine
628,metixene
629,tubocurarine
630,pirenzepine
631,methscopolamine bromide
632,trimethaphan
633,solifenacin
634,trihexyphenidyl
635,tropicamide
636,cyclopentolate
637,biperiden
638,dicyclomine
639,gallamine triethiodide
640,benzatropine
641,desloratadine
642,oxybutynin
643,pancuronium
644,profenamine
645,atropine
646,tapentadol
647,methadyl acetate
648,ethylmorphine
649,diamorphine
650,dezocine
651,levacetylmethadol
652,normethadone
653,ketobemidone
654,dextropropoxyphene
655,dronabinol
656,nabilone
657,olanzapine
658,metyrosine
659,oxprenolol
660,umeclidinium
661,aclidinium
662,droperidol
663,magnesium sulfate
664,perampanel
665,minocycline
666,sodium oxybate
667,doxylamine
668,hydroxyzine
669,sertindole
670,dapiprazole
671,perphenazine
672,trifluoperazine
673,fluspirilene
674,cariprazine
675,periciazine
676,prochlorperazine
677,perospirone
678,acepromazine
679,aceprometazine
680,molindone
681,zotepine
682,melperone
683,mesoridazine
684,chlorprothixene
685,pipotiazine
686,thiothixene
687,thioproperazine
688,zuclopenthixol
689,brexpiprazole
690,pimozide
691,cyamemazine
692,ondansetron
693,fluphenazine
694,loxapine
695,lurasidone
696,asenapine
697,paliperidone
698,flupentixol
699,triflupromazine
700,iloperidone
701,fencamfamin
702,acetophenazine
703,tasimelteon
704,cinchocaine
705,dyclonine
706,promethazine
707,glutethimide
708,methylphenobarbital
709,dexbrompheniramine
710,difenoxin
711,levocabastine
712,pizotifen
713,zonisamide
714,clidinium
715,articaine
716,levetiracetam
717,halazepam
718,melatonin
719,flibanserin
720,etizolam
721,cyproheptadine
722,cyclizine
723,chlormezanone
724,fospropofol
725,fosphenytoin
726,gabapentin enacarbil
727,ethyl loflazepate
728,amoxapine
729,nortriptyline
730,chlorzoxazone
731,brompheniramine
732,metaxalone
733,butobarbital
734,hexobarbital
735,phenytoin
736,ethosuximide
737,flunitrazepam
738,felbamate
739,prilocaine
740,ethotoin
741,methsuximide
742,vortioxetine
743,trazodone
744,entacapone
745,pramocaine
746,propoxycaine
747,lormetazepam
748,oxybuprocaine
749,methoxyflurane
750,agomelatine
751,trichloroethylene
752,doxepin
753,baclofen
754,thiamylal
755,meclizine
756,chloral hydrate
757,fludiazepam
758,mepivacaine
759,cetirizine
760,protriptyline
761,benzyl alcohol
762,thiopental
763,ezogabine
764,ketazolam
765,clonazepam
766,vigabatrin
767,benzocaine
768,levocetirizine
769,maprotiline
770,brotizolam
771,chlorpheniramine
772,levobupivacaine
773,dantrolene
774,methocarbamol
775,carisoprodol
776,dimenhydrinate
777,oxetacaine
778,etidocaine
779,tiagabine
780,triprolidine
781,lamotrigine
782,prazepam
783,amitriptyline
784,primidone
785,chloroprocaine
786,loratadine
787,carbinoxamine
788,halothane
789,proparacaine
790,flunarizine
791,ramelteon
792,olopatadine
793,butalbital
794,butamben
795,trimipramine
796,procaine
797,tetracaine
798,fexofenadine
799,mianserin
800,orphenadrine
801,hydrocodone
802,fentanyl
803,dihydrocodeine
804,tramadol
805,oxycodone
806,hydromorphone
807,oxymorphone
808,morphine
809,codeine
810,alfentanil
811,meperidine
812,buprenorphine
813,yohimbine
814,selexipag
815,nitrendipine
816,lercanidipine
817,bepridil
818,nilvadipine
819,celiprolol
820,xylometazoline
821,macitentan
822,dorzolamide
823,ambrisentan
824,efonidipine
825,lacidipine
826,nevirapine
827,dolasetron
828,levomilnacipran
829,escitalopram
830,desvenlafaxine
831,ethanol
832,propafenone
833,clindamycin
834,nitrazepam
835,eszopiclone
836,alprazolam
837,estazolam
838,secobarbital
839,triazolam
840,zaleplon
841,temazepam
842,gabapentin
843,midazolam
844,flurazepam
845,mirtazapine
846,amobarbital
847,zopiclone
848,cyclobenzaprine
849,bromazepam
850,carbamazepine
851,diazepam
852,buspirone
853,pregabalin
854,bupivacaine
855,clorazepic acid
856,oxazepam
857,lidocaine
858,ketamine
859,methohexital
860,chlordiazepoxide
861,cevimeline
862,pilocarpine
863,ribociclib
864,pinaverium
865,cilnidipine
866,benidipine
867,azelnidipine
868,eperisone
869,amrinone
870,cinnarizine
871,barnidipine
872,perhexiline
873,ledipasvir
874,vardenafil
875,alfuzosin
876,azithromycin
877,salmeterol
878,primaquine
879,metronidazole
880,galantamine
881,bedaquiline
882,indacaterol
883,vilanterol
884,mefloquine
885,dapsone
886,brinzolamide
887,dasabuvir
888,paritaprevir
889,pravastatin
890,ubidecarenone
891,rosuvastatin
892,simvastatin
893,calcitriol
894,levothyroxine
895,raltegravir
896,rilpivirine
897,paricalcitol
898,ergocalciferol
899,chenodeoxycholic acid
900,picosulfuric acid
901,benzphetamine
902,paramethadione
903,etonogestrel
